Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Trinity,No,White,Cis Woman,Bisexual,No,No,No,NC,28412,,,Suburban,"$80,000-$125,000",Yes,Earth and Ocean Sciences,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,No opinion,Somewhat favorable,2,No,,Strongly agree,Orientation Week,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,4,ACT,,34,Private (non-denominational),No,14,3,No,Yes,No,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),No,Drank alcohol,Yes,Yes,Neither
Trinity,No,"Black or African American,Asian",Cis Woman,Prefer not to say,No,No,No,GA,30101,,,Suburban,"$125,000-$250,000",Yes,Computer Science,Financial aid award / scholarship,Not interested at all,Moderately interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly unfavorable,Somewhat favorable,3,No,,Somewhat agree,Dorm,A great deal,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Neither likely or unlikely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,SAT,1580,,Public (non-charter),No,12,12,No,No,No,No,Buddhist,Not very religious,Moderate,Ineligible to vote,,,Ineligible to vote,,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NY,11793,,,Suburban,"$125,000-$250,000",Yes,Neuroscience,"Duke’s ""brand name""",Slightly interested,Moderately interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,3,Yes,2,Somewhat agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1580,35,Public (non-charter),No,22,7,No,No,No,No,Agnostic,Somewhat religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,,No,,Print and Online
Trinity,No,White,Cis Woman,Gay/Homosexual/Lesbian,No,No,No,OK,74055,,,Suburban,"$125,000-$250,000",Yes,International Comparative Studies,Academics and interdisciplinary curriculum,Slightly interested,Very interested,Much more likely,Meeting new people,On campus,,,Staying on campus,No,,Yes,Yes,Somewhat favorable,Somewhat favorable,Strongly favorable,1,No,,Strongly agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1440,34,Public (non-charter),No,2,2,Yes,No,Yes,No,Protestant,Not very religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs",No,,Online
Trinity,No,"White,Black or African American,Asian",Cis Woman,Heterosexual,No,No,No,CA,90275,,,Suburban,"Above $500,000",No,Economics,Financial aid award / scholarship,Slightly interested,Moderately interested,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,No opinion,,2,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Very unlikely,Yes,No,No,4,SAT,1570,,Public (non-charter),Yes,13,12,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",Yes,No,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NC,27606,,,Suburban,"$40,000-$80,000",Yes,Computer Science,Financial aid award / scholarship,Moderately interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Strongly favorable,3,No,,Somewhat agree,Dorm,A lot,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,SAT,1490,,Public (non-charter),No,2,2,Yes,No,Yes,Yes,Agnostic,Not very religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,"Drank alcohol,Used drugs,Had sex",Yes,No,Online
Trinity,Yes,,Cis Woman,Bisexual,Yes,No,No,FL,33012,,,Urban,"$40,000-$80,000",Yes,Undecided,Financial aid award / scholarship,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat unfavorable,Strongly favorable,1,No,,Strongly disagree,,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.99,SAT,1530,,Public (non-charter),No,12,9,No,No,No,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Online
Pratt,No,Asian,Other,Bisexual,No,No,No,NJ,07059,,,Suburban,"Above $500,000",No,Electrical and Computer Engineering,Student life / campus culture,Not interested at all,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Going back home,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat disagree,,A lot,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Moderately unlikely,Very unlikely,Very likely,Yes,No,No,3.9,ACT,,35,Private (non-denominational),Yes,19,8,No,Yes,No,No,Agnostic,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Had sex",No,,Neither
Trinity,No,Black or African American,Cis Woman,Pansexual,No,No,No,Texas,77450,,,Suburban,"$40,000-$80,000",Yes,Computer Science,Pre-professional opportunities and alumni network,Moderately interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,Yes,Strongly favorable,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat agree,Orientation Week,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Very likely,Yes,No,No,3.8,"SAT,ACT",1400,30,Public (non-charter),No,8,4,No,No,No,No,Other,Somewhat religious,Very liberal,Yes,Joe Biden,Durham,No,,Prefer not to say,,Neither
Pratt,Yes,White,Cis Woman,Heterosexual,No,No,No,WI,54935,,,Suburban,"$80,000-$125,000",Yes,Biomedical Engineering,Academics and interdisciplinary curriculum,Moderately interested,Very interested,More likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,0,Yes,0,Strongly agree,Dorm,A lot,Very likely,Moderately Likely,Moderately unlikely,Moderately Likely,Moderately Likely,Moderately Likely,Very unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,ACT,,34,Private (parochial),No,8,8,Yes,No,Yes,No,Catholic,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,"Drank alcohol,Obtained a fake ID",No,,Online
Pratt,No,Asian,Cis Man,Heterosexual,No,No,No,FL,32937,,,Suburban,"Above $500,000",No,Biomedical Engineering,Student life / campus culture,Very interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,No opinion,Somewhat unfavorable,Strongly favorable,1,No,,Somewhat agree,Other,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Very likely,Moderately Likely,Moderately unlikely,Very unlikely,Very unlikely,Yes,No,No,4,ACT,,36,Public (non-charter),Yes,17,11,No,No,No,No,Hindu,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Had sex",No,,Online
Trinity,No,"White,Asian",Cis Woman,Heterosexual,No,No,No,CA,91320,,,Suburban,"$125,000-$250,000",No,Earth and Ocean Sciences,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,0,No,,Somewhat agree,Dorm,A little,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,No,No,No,3.9,"SAT,ACT",1520,35,Public (non-charter),No,15,10,No,No,No,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,Yes,No,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,OH,43021,,,Suburban,"$125,000-$250,000",Yes,Undecided,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat unfavorable,Strongly favorable,2,No,,Somewhat agree,Clubs/Extracurriculars,A moderate amount,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1550,36,Public (non-charter),No,4,3,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Had sex,No,,Online
Trinity,No,"White,Asian",Cis Woman,Heterosexual,No,No,No,CA,94024,,,Suburban,"$250,000-$500,000",No,Economics,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,2,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,3.99,ACT,,35,Private (non-denominational),No,1,1,Yes,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,Drank alcohol,Yes,Yes,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,TN,37221,,,Urban,"$125,000-$250,000",Yes,Global Health**,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,0,Yes,0,Somewhat agree,Other,A little,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,ACT,,34,Public (non-charter),No,18,9,No,Yes,No,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Durham,Yes,,No,,Print and Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,California,94010,,,Suburban,"$250,000-$500,000",No,Global Health**,Academics and interdisciplinary curriculum,Extremely interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Strongly unfavorable,Strongly favorable,1,Yes,1,Strongly agree,Orientation Week,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Very likely,Moderately unlikely,Yes,No,No,4,"SAT,ACT",1500,35,Public (non-charter),Yes,13,2,Yes,No,Yes,No,Jewish,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Ineligible to vote,"Drank alcohol,Used drugs,Obtained a fake ID",Prefer not to say,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,IL,60440,,,Suburban,"$125,000-$250,000",No,Statistical Science,Pre-professional opportunities and alumni network,Not interested at all,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,0,No,,Strongly agree,Dorm,A little,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Very unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),No,8,4,Yes,No,Yes,No,Protestant,Religious,Moderate,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs",No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,MD,20876,,,Suburban,"$125,000-$250,000",No,,Financial aid award / scholarship,Not interested at all,Slightly interested,Much less likely,,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Strongly favorable,Somewhat favorable,2,Yes,1,Somewhat agree,Orientation Week,A moderate amount,Very likely,Very likely,Very likely,Neither likely or unlikely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1600,,Public (non-charter),No,12,10,No,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,No,Drank alcohol,No,,Print and Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,CA,95492,,,Suburban,"$250,000-$500,000",No,Biology,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,3,Yes,2,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1580,,Private (parochial),Yes,27,15,No,No,No,No,Catholic,Somewhat religious,Somewhat conservative,Yes,Donald Trump,Durham,Ineligible to vote,Drank alcohol,No,,Online
Pratt,Yes,White,Cis Man,Heterosexual,No,No,No,Nebraska,68142,,,Suburban,"Above $500,000",No,Biomedical Engineering,Academics and interdisciplinary curriculum,Slightly interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat disagree,,A lot,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,SAT,1570,,Private (parochial),No,1,1,Yes,No,Yes,No,Catholic,Religious,Somewhat conservative,Yes,Donald Trump,Home (Not Durham),Yes,,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,TN,37221,,,Suburban,"$250,000-$500,000",No,Neuroscience,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat agree,Dorm,A lot,Moderately Likely,Very likely,Neither likely or unlikely,Moderately unlikely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),No,15,7,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,Black or African American,Cis Woman,Bisexual,No,No,No,GA,31909,,,Urban,"$40,000-$80,000",Yes,,Pre-professional opportunities and alumni network,Very interested,Slightly interested,Less likely,Cultural connection,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,No,,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,Yes — furloughed,No,4,SAT,1410,,Public (non-charter),No,5,5,Yes,No,Yes,Yes,Other,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,"White,Asian",Cis Woman,Bisexual,No,No,No,NC,27516,,,Suburban,"$250,000-$500,000",Yes,Global Health**,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,3,Yes,2,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,4,"SAT,ACT",1560,35,Public (non-charter),No,11,6,No,No,Yes,Yes,Agnostic,Somewhat religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Drank alcohol,Yes,No,Online
Pratt,No,White,Cis Woman,Heterosexual,No,No,No,NY,11577,,,Suburban,"$250,000-$500,000",No,Biomedical Engineering,Student life / campus culture,Slightly interested,Moderately interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Somewhat favorable,2,No,,Somewhat agree,Clubs/Extracurriculars,A moderate amount,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.9,ACT,,35,Public (non-charter),No,1,1,Yes,No,Yes,Yes,Jewish,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,No,,No,,Online
Pratt,No,White,Cis Woman,Heterosexual,No,No,No,NY,11803,,,Suburban,"Above $500,000",No,Mechanical Engineering,Academics and interdisciplinary curriculum,Slightly interested,Slightly interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat favorable,Strongly favorable,2,No,,Strongly agree,Dorm,A moderate amount,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Moderately Likely,Very unlikely,Very unlikely,Very unlikely,No,No,No,4,ACT,,35,Public (non-charter),Yes,21,15,No,No,Yes,No,Jewish,Not at all religious,Moderate,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Obtained a fake ID",No,,Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,CO,80504,,,Suburban,"Above $500,000",No,Biology,Academics and interdisciplinary curriculum,Slightly interested,Slightly interested,More likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Strongly agree,Dorm,None at all,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,3.96,ACT,,35,Public (non-charter),Yes,6,6,Yes,No,Yes,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Online
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,Yes,,,Hyderabad,India,Urban,"$80,000-$125,000",Yes,Biomedical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Neither more or less likely,Other,At Home,Safety concerns,Yes - to campus,,Yes,Strongly unfavorable,No,No,Somewhat favorable,Strongly favorable,Strongly unfavorable,0,No,,Somewhat disagree,,A great deal,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately unlikely,Neither likely or unlikely,Moderately unlikely,Very likely,Yes,No,No,4,"SAT,ACT",1530,36,Private (non-denominational),No,5,5,Yes,No,Yes,No,Hindu,Religious,Moderate,Ineligible to vote,,,Ineligible to vote,,No,,Neither
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NJ,08812,,,Suburban,"Above $500,000",No,,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,,No,,Somewhat disagree,,A great deal,Very likely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Very unlikely,Very unlikely,Moderately likely,Yes,No,No,3.98,SAT,1540,,Public (non-charter),No,4,2,Yes,No,Yes,Yes,Agnostic,Not very religious,Somewhat liberal,Ineligible to vote,,,Ineligible to vote,,No,,Print and Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NY,11357,,,Urban,"$40,000-$80,000",Yes,Neuroscience,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,Yes,1,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,Yes — lost their job,No,3.88,SAT,1560,,Public (non-charter),No,4,2,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Durham,No,,No,,Online
Pratt,No,Asian,Cis Man,Gay/Homosexual/Lesbian,No,No,No,NC,27519,,,Suburban,"$40,000-$80,000",No,Mechanical Engineering,Student life / campus culture,Not interested at all,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,No opinion,No opinion,Somewhat favorable,1,No,,Somewhat agree,Dorm,A little,Moderately Likely,Very likely,Moderately Likely,Very unlikely,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,SAT,1570,,Public (non-charter),No,7,5,Yes,No,No,No,Protestant,Somewhat religious,Moderate,Yes,Donald Trump,Durham,Ineligible to vote,Drank alcohol,No,,Neither
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,NJ,07405,,,Suburban,"$250,000-$500,000",No,Biology,Student life / campus culture,Not interested at all,Slightly interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,Yes,1,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),Yes,5,1,Yes,No,Yes,No,Catholic,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,No,Drank alcohol,Yes,No,Print and Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,TX,75071,,,Suburban,"$80,000-$125,000",Yes,Biology,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Going back home,Yes,Strongly favorable,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Strongly disagree,,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately likely,Yes,Yes — furloughed,No,4,"SAT,ACT",1520,35,Public (non-charter),No,2,2,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Had sex,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,OH,,,,Suburban,,No,Economics,Pre-professional opportunities and alumni network,Slightly interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,2,Yes,1,Somewhat disagree,,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),No,7,2,Yes,No,Yes,No,Hindu,Not very religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,,No,,Neither
Trinity,No,Black or African American,Cis Woman,Pansexual,No,No,No,NC,27613,,,Suburban,"$125,000-$250,000",Yes,Interdepartmental Major,Academics and interdisciplinary curriculum,Moderately interested,Not interested at all,Neither more or less likely,Cultural connection,At Home,Financial reasons,Yes - to campus,,Yes,Somewhat favorable,No,No,Somewhat favorable,Somewhat favorable,No opinion,0,No,,Strongly disagree,,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,3.5,"SAT,ACT",1420,34,Public (non-charter),No,9,5,No,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Print and Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,CT,06902,,,Suburban,"$250,000-$500,000",No,Economics,Academics and interdisciplinary curriculum,Moderately interested,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,2,No,,Strongly agree,Orientation Week,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.99,ACT,,36,Public (non-charter),No,13,1,Yes,No,No,No,Hindu,Somewhat religious,Somewhat conservative,Yes,Joe Biden,Home (Not Durham),Yes,Drank alcohol,Yes,Prefer not to say,Neither
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,NJ,08057,,,Suburban,"$250,000-$500,000",No,Economics,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,1,No,,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,3.9,ACT,,35,Public (non-charter),Yes,15,9,Yes,No,Yes,No,Hindu,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Yes,Drank alcohol,No,,Neither
